dark_triad_score
0.59574
0.59574
0.68085
0.25532
0.70213
0.74468
0.87234
0.78723
0.23404
0.78723
0.61702
0.38298
0.74468
0.68085
0.46809
0.51064
0.97872
0.29787
0.19149
0.55319
0.85106
0.6383
0.46809
0.68085
0.51064
0.80851
0.51064
0.68085
0.87234
0.87234
0.7234
0.97872
0.48936
0.80851
0.31915
0.21277
0.57447
0.51064
0.61702
0.59574
0.55319
0.68085
0.61702
0.12766
0.44681
0.55319
0.2766
0.55319
0.6383
0.76596
0.57447
0.2766
0.80851
0.08511
0.48936
0.76596
0.44681
0.6383
0.91489
0.85106
0.38298
0.55319
0.46809
0.76596
0.42553
0.10638
0.65957
0.68085
0.57447
0.76596
0.76596
0.48936
0.7234
0.61702
0.38298
0.57447
0.7234
0.53191
0.48936
0.59574
0.25532
0.48936
0.44681
0.61702
0.38298
0.7234
0.97872
0.53191
0.02128
0.61702
0.34043
0.46809
0.87234
0.48936
0.87234
0.19149
0.65957
0.87234
0.21277
0.46809
0.3617
0.70213
0.7234
0.91489
0.29787
0.19149
0.3617
0.42553
0.46809
0.08511
0.74468
0.46809
0.29787
0.46809
0.61702
0.57447
0.80851
0.68085
0.17021
0.46809
0.31915
0.48936
0.74468
0.61702
0.34043
0.34043
0.2766
0.6383
0.70213
0.61702
0.29787
0.42553
0.61702
0.6383
0.44681
0.65957
0.59574
0.44681
0.51064
0.78723
0.80851
0.17021
0.65957
0.29787
0.46809
0.3617
0.44681
0.44681
0.95745
0.48936
0.44681
0.44681
0.34043
0.29787
0.44681
0.85106
0.46809
0.12766
0.91489
0.85106
0.6383
0.6383
0.7234
0.6383
0.68085
0.46809
0.7234
0.93617
0.57447
0.40426
0.48936
0.74468
0.78723
0.6383
0.38298
0.59574
0.12766
0.70213
0.44681
0.57447
0.2766
0.55319
0.31915
0.7234
0.51064
0.6383
0.74468
0.7234
0.40426
0.6383
0.55319
0.70213
0.2766
0.51064
0.6383
0.25532
0.74468
0.89362
0.48936
0.31915
0.55319
0.76596
0.57447
0.38298
0.42553
0.65957
0.87234
0.59574
0.23404
0.31915
0.44681
0.55319
0.7234
0.76596
0.6383
0.42553
0.80851
0.61702
0.55319
0.25532
0.29787
0.42553
0.59574
0.46809
0.74468
