testelapse,depression_mean,age_mean,% participants
260,0.38183,0.31778,0.00293
261,0.39538,0.29182,0.00359
262,0.35714,0.268,0.00163
263,0.39365,0.225,0.00326
264,0.39187,0.32875,0.00261
265,0.51058,0.23333,0.00391
266,0.37937,0.206,0.00163
267,0.38426,0.31083,0.00391
268,0.4881,0.255,0.00261
269,0.40079,0.23,0.00196
270,0.37075,0.22714,0.00228
271,0.45414,0.24667,0.00293
272,0.47321,0.365,0.00261
273,0.33995,0.29,0.00391
274,0.38095,0.235,0.00196
275,0.45503,0.265,0.00196
276,0.4898,0.32429,0.00228
277,0.40123,0.25111,0.00293
278,0.4127,0.21917,0.00391
279,0.43016,0.252,0.00163
280,0.23016,0.285,0.0013
281,0.41534,0.29,0.00196
282,0.2004,0.2525,0.0013
283,0.5754,0.2225,0.0013
284,0.47506,0.30857,0.00228
285,0.40159,0.274,0.00163
286,0.41071,0.3025,0.00261
287,0.09524,0.26,0.00033
288,0.4881,0.215,0.00065
289,0.29683,0.238,0.00163
290,0.47222,0.235,0.00065
291,0.2963,0.28,0.00098
292,0.34921,0.27833,0.00196
293,0.36905,0.23375,0.00261
294,0.59524,0.225,0.00065
295,0.47052,0.21714,0.00228
296,0.45351,0.26429,0.00228
297,0.38492,0.305,0.0013
298,0.29819,0.26857,0.00228
299,0.22024,0.27,0.0013
300,0.53704,0.2,0.00098
301,0.60635,0.26,0.00163
302,0.40278,0.2575,0.0013
303,0.46726,0.26125,0.00261
304,0.29365,0.29667,0.00098
305,0.36349,0.268,0.00163
306,0.31746,0.25,0.00228
307,0.30952,0.3325,0.0013
308,0.50794,0.3,0.0013
309,0.26587,0.24,0.00065
310,0.35488,0.21714,0.00228
311,0.42857,0.276,0.00163
312,0.46032,0.33333,0.00098
313,0.40873,0.3725,0.0013
314,0.27381,0.2525,0.0013
315,0.6164,0.35333,0.00098
316,0.38254,0.32,0.00163
318,0.40212,0.32667,0.00196
319,0.44921,0.238,0.00163
320,0.27778,0.215,0.00065
321,0.40476,0.215,0.00065
322,0.38889,0.235,0.0013
323,0.77381,0.195,0.00065
