TIPI5,depression_mean,depression_relative,age_mean,age_relative
0,0.48850574712643674,0.009452411994784877,0.12624196376388075,0.009452411994784877
1,0.5936041083099904,0.033246414602346806,0.17863077434363575,0.033246414602346806
2,0.5178062678062678,0.05084745762711865,0.20806171229900045,0.05084745762711865
3,0.4903458895996209,0.08735332464146023,0.17562610675436371,0.08735332464146023
4,0.4599802884116608,0.09973924380704041,0.1661681621801262,0.09973924380704041
5,0.41586610454535,0.2245762711864407,0.17694521659983778,0.2245762711864407
6,0.3815853539779918,0.26564537157757495,0.20811063741291455,0.26564537157757495
7,0.3816071710808553,0.22913950456323337,0.20637943920727145,0.22913950456323337
