TIPI6,depression_mean,age_mean,% participants
0,0.51911,0.23815,0.0088
1,0.33429,0.29966,0.06747
2,0.35962,0.28957,0.07627
3,0.39114,0.2758,0.08377
4,0.41868,0.26872,0.10202
5,0.38983,0.2717,0.19035
6,0.4241,0.27413,0.20893
7,0.49069,0.26424,0.26239
