race,depression_mean,age_mean,% participants
arab,0.46741,0.25253,0.02445
asian,0.44469,0.23791,0.39309
black,0.38613,0.2713,0.02999
indigenous australian,0.46032,0.32,0.00065
native american,0.44139,0.3,0.00424
other,0.41879,0.25103,0.10104
white,0.40153,0.31031,0.44654
