TIPI9,depression_mean,depression_relative,age_mean,age_relative
0,0.47354497354497355,0.008800521512385919,0.14375392341494034,0.008800521512385919
1,0.6333524574488428,0.13526727509778358,0.166183377578109,0.13526727509778358
2,0.5171327790375413,0.16427640156453716,0.17184557438794731,0.16427640156453716
3,0.4456783353136516,0.1698174706649283,0.17817755945216174,0.1698174706649283
4,0.4025375471563806,0.1453715775749674,0.1783841301208481,0.1453715775749674
5,0.35221111764321644,0.15840938722294653,0.19756573899700075,0.15840938722294653
6,0.27639905256831776,0.14634941329856585,0.23702389490770448,0.14634941329856585
7,0.2281024531024532,0.07170795306388526,0.24807395993836653,0.07170795306388526
