age,depression_mean,depression_relative,age_mean,age_relative
16,0.4993972272453285,0.025749674054758802,0.0,0.025749674054758802
17,0.5563404849119133,0.029661016949152543,0.016949152542372854,0.029661016949152543
18,0.4971772214040253,0.06323337679269883,0.03389830508474569,0.06323337679269883
19,0.48290101948638553,0.08018252933507171,0.050847457627118856,0.08018252933507171
20,0.48286302175191076,0.0880052151238592,0.06779661016949137,0.0880052151238592
21,0.45826218933788637,0.0818122555410691,0.08474576271186476,0.0818122555410691
22,0.41451871268385004,0.0710560625814863,0.10169491525423757,0.0710560625814863
23,0.41829573934837083,0.06192959582790091,0.11864406779660998,0.06192959582790091
24,0.4023199023199023,0.05084745762711865,0.13559322033898277,0.05084745762711865
25,0.42574057223738737,0.051173402868318126,0.1525423728813562,0.051173402868318126
26,0.3997050147492627,0.036831812255541066,0.16949152542372875,0.036831812255541066
27,0.38507625272331153,0.033246414602346806,0.1864406779661017,0.033246414602346806
28,0.42918192918192916,0.025423728813559324,0.20338983050847437,0.025423728813559324
29,0.39631336405529943,0.020208604954367666,0.22033898305084765,0.020208604954367666
30,0.38272642390289446,0.02770534550195567,0.23728813559322035,0.02770534550195567
31,0.38726919339164234,0.015971316818774447,0.2542372881355934,0.015971316818774447
32,0.3838854382332642,0.01499348109517601,0.27118644067796593,0.01499348109517601
33,0.34372637944066514,0.013689700130378096,0.28813559322033905,0.013689700130378096
34,0.4041666666666665,0.01303780964797914,0.3050847457627116,0.01303780964797914
35,0.36657681940700804,0.01727509778357236,0.3220338983050846,0.01727509778357236
36,0.32373569582871914,0.014015645371577574,0.3389830508474572,0.014015645371577574
37,0.350742447516641,0.010104302477183833,0.3559322033898305,0.010104302477183833
38,0.3653733098177543,0.008800521512385919,0.3728813559322035,0.008800521512385919
39,0.3576719576719577,0.0048891786179921775,0.3898305084745762,0.0048891786179921775
40,0.34920634920634924,0.012059973924380704,0.4067796610169494,0.012059973924380704
41,0.30743525480367584,0.006192959582790091,0.4237288135593219,0.006192959582790091
42,0.33998283998283996,0.012059973924380704,0.44067796610169513,0.012059973924380704
43,0.37152777777777773,0.005215123859191656,0.4576271186440677,0.005215123859191656
44,0.3630952380952382,0.007822685788787484,0.47457627118644075,0.007822685788787484
45,0.31531531531531526,0.012059973924380704,0.49152542372881325,0.012059973924380704
46,0.3825396825396825,0.008148631029986962,0.5084745762711868,0.008148631029986962
47,0.36716791979949864,0.006192959582790091,0.5254237288135594,0.006192959582790091
48,0.23121693121693127,0.0048891786179921775,0.5423728813559323,0.0048891786179921775
49,0.27142857142857146,0.0048891786179921775,0.5593220338983051,0.0048891786179921775
50,0.3718400940623162,0.008800521512385919,0.5762711864406781,0.008800521512385919
51,0.34065934065934067,0.00423728813559322,0.5932203389830509,0.00423728813559322
52,0.22795414462081132,0.005867014341590613,0.6101694915254238,0.005867014341590613
53,0.27142857142857146,0.003259452411994785,0.6271186440677966,0.003259452411994785
54,0.30753968253968256,0.002607561929595828,0.6440677966101694,0.002607561929595828
55,0.33024691358024694,0.005867014341590613,0.6610169491525427,0.005867014341590613
56,0.3475056689342404,0.0045632333767926985,0.6779661016949152,0.0045632333767926985
57,0.40419501133786845,0.0045632333767926985,0.6949152542372883,0.0045632333767926985
58,0.33174603174603173,0.0048891786179921775,0.711864406779661,0.0048891786179921775
59,0.3673469387755102,0.0022816166883963492,0.7288135593220338,0.0022816166883963492
60,0.13095238095238093,0.001303780964797914,0.7457627118644068,0.001303780964797914
61,0.31746031746031744,0.001955671447196871,0.7627118644067795,0.001955671447196871
62,0.23148148148148148,0.001955671447196871,0.7796610169491526,0.001955671447196871
63,0.291005291005291,0.0009778357235984355,0.7966101694915254,0.0009778357235984355
64,0.34391534391534395,0.0009778357235984355,0.8135593220338984,0.0009778357235984355
65,0.2698412698412698,0.0009778357235984355,0.8305084745762712,0.0009778357235984355
66,0.3412698412698413,0.000651890482398957,0.847457627118644,0.000651890482398957
67,0.26455026455026454,0.0009778357235984355,0.864406779661017,0.0009778357235984355
68,0.2222222222222222,0.000651890482398957,0.8813559322033898,0.000651890482398957
69,0.07142857142857142,0.0003259452411994785,0.8983050847457628,0.0003259452411994785
70,0.376984126984127,0.000651890482398957,0.9152542372881356,0.000651890482398957
71,0.3253968253968254,0.000651890482398957,0.9322033898305084,0.000651890482398957
72,0.11904761904761904,0.0003259452411994785,0.9491525423728814,0.0003259452411994785
73,0.46296296296296297,0.0009778357235984355,0.9661016949152542,0.0009778357235984355
75,0.626984126984127,0.0003259452411994785,1.0,0.0003259452411994785
