TIPI6,depression_mean,depression_relative,age_mean,age_relative
0,0.519106407995297,0.008800521512385919,0.13245448838669177,0.008800521512385919
1,0.3342918487846026,0.06747066492829204,0.23671497584541046,0.06747066492829204
2,0.35961877628544303,0.07627118644067797,0.2196146602926263,0.07627118644067797
3,0.39114322771910326,0.08376792698826598,0.1962672294400843,0.08376792698826598
4,0.41868248897002885,0.10202086049543677,0.18427465208209232,0.10202086049543677
5,0.38982659273755127,0.19035202086049544,0.18931390759229172,0.19035202086049544
6,0.4241017259738011,0.2089308996088657,0.1934477379095166,0.2089308996088657
7,0.490693088829735,0.2623859191655802,0.17667122855037362,0.2623859191655802
