married,depression_mean,depression_relative,age_mean,age_relative
currently,0.3387395882445389,0.16460234680573663,0.39835542876321517,0.16460234680573663
never,0.43867152806992893,0.7747718383311604,0.12869091505458413,0.7747718383311604
previously,0.4262972245428388,0.05573663624511082,0.4637724254138167,0.05573663624511082
unspecified,0.45132275132275124,0.0048891786179921775,0.16610169491525423,0.0048891786179921775
