depression,depression_mean,depression_relative,age_mean,age_relative
42,0.0,0.00423728813559322,0.37679269882659716,0.00423728813559322
43,0.007936507936507936,0.0029335071707953064,0.3408662900188324,0.0029335071707953064
44,0.015873015873015872,0.0029335071707953064,0.2598870056497175,0.0029335071707953064
45,0.02380952380952381,0.0045632333767926985,0.3777239709443099,0.0045632333767926985
46,0.031746031746031744,0.003259452411994785,0.3305084745762712,0.003259452411994785
47,0.03968253968253966,0.008148631029986962,0.256271186440678,0.008148631029986962
48,0.04761904761904762,0.0045632333767926985,0.3692493946731235,0.0045632333767926985
49,0.05555555555555557,0.0045632333767926985,0.14891041162227606,0.0045632333767926985
50,0.06349206349206349,0.007170795306388526,0.19029275808936824,0.007170795306388526
51,0.07142857142857142,0.010104302477183833,0.2378348824494259,0.010104302477183833
52,0.07936507936507935,0.009452411994784877,0.244886031560491,0.009452411994784877
53,0.08730158730158727,0.007822685788787484,0.31214689265536727,0.007822685788787484
54,0.09523809523809529,0.007170795306388526,0.25963020030816647,0.007170795306388526
55,0.10317460317460322,0.009778357235984355,0.2711864406779661,0.009778357235984355
56,0.11111111111111115,0.01075619295958279,0.24191063174114025,0.01075619295958279
57,0.11904761904761899,0.012711864406779662,0.2524989135158626,0.012711864406779662
58,0.12698412698412698,0.00847457627118644,0.23207301173402867,0.00847457627118644
59,0.13492063492063494,0.010430247718383311,0.3432203389830509,0.010430247718383311
60,0.14285714285714285,0.010430247718383311,0.2537076271186441,0.010430247718383311
61,0.15079365079365079,0.009778357235984355,0.23389830508474574,0.009778357235984355
62,0.1587301587301587,0.009452411994784877,0.20280537697253068,0.009452411994784877
63,0.16666666666666669,0.01075619295958279,0.20184899845916793,0.01075619295958279
64,0.17460317460317462,0.010430247718383311,0.27595338983050843,0.010430247718383311
65,0.1825396825396826,0.014015645371577574,0.24241229798975167,0.014015645371577574
66,0.19047619047619058,0.008148631029986962,0.17355932203389834,0.008148631029986962
67,0.1984126984126985,0.010104302477183833,0.160196828868234,0.010104302477183833
68,0.20634920634920642,0.006844850065189048,0.25100887812752215,0.006844850065189048
69,0.21428571428571436,0.010430247718383311,0.27171610169491534,0.010430247718383311
70,0.2222222222222223,0.009452411994784877,0.25540619520748103,0.009452411994784877
71,0.2301587301587302,0.007496740547588005,0.3080324244657332,0.007496740547588005
72,0.23809523809523803,0.012059973924380704,0.24003664681630782,0.012059973924380704
73,0.24603174603174602,0.01075619295958279,0.18849512069851054,0.01075619295958279
74,0.25396825396825395,0.007822685788787484,0.19350282485875706,0.007822685788787484
75,0.2619047619047621,0.012711864406779662,0.1660147761842677,0.012711864406779662
76,0.26984126984127,0.011734028683181226,0.22645951035781542,0.011734028683181226
77,0.2777777777777778,0.01075619295958279,0.22650231124807396,0.01075619295958279
78,0.2857142857142858,0.012059973924380704,0.16262024736601008,0.012059973924380704
79,0.29365079365079355,0.008800521512385919,0.1977401129943503,0.008800521512385919
80,0.30158730158730174,0.012711864406779662,0.22511951325510646,0.012711864406779662
81,0.30952380952380976,0.01499348109517601,0.2450257921886514,0.01499348109517601
82,0.3174603174603176,0.013689700130378096,0.17635189669087972,0.013689700130378096
83,0.3253968253968255,0.011408083441981747,0.18498789346246972,0.011408083441981747
84,0.33333333333333354,0.01564537157757497,0.1942090395480226,0.01564537157757497
85,0.3412698412698414,0.011734028683181226,0.17231638418079093,0.011734028683181226
86,0.34920634920634924,0.010104302477183833,0.13723346090759977,0.010104302477183833
87,0.35714285714285726,0.013363754889178618,0.21041752790409257,0.013363754889178618
88,0.3650793650793651,0.01075619295958279,0.2110939907550077,0.01075619295958279
89,0.3730158730158733,0.011408083441981747,0.16561743341404359,0.011408083441981747
90,0.3809523809523812,0.010430247718383311,0.1641949152542373,0.010430247718383311
91,0.3888888888888891,0.01075619295958279,0.25475089881869545,0.01075619295958279
92,0.396825396825397,0.009778357235984355,0.13163841807909604,0.009778357235984355
93,0.404761904761905,0.012711864406779662,0.1842677096914385,0.012711864406779662
94,0.4126984126984129,0.012059973924380704,0.22766834631241412,0.012059973924380704
95,0.4206349206349208,0.010430247718383311,0.23993644067796607,0.010430247718383311
96,0.4285714285714287,0.009452411994784877,0.13150204558737577,0.009452411994784877
97,0.4365079365079367,0.009126466753585397,0.20762711864406783,0.009126466753585397
98,0.44444444444444453,0.011734028683181226,0.16242937853107342,0.011734028683181226
99,0.4523809523809525,0.010104302477183833,0.2197922361946419,0.010104302477183833
100,0.46031746031746024,0.012711864406779662,0.1686223381138635,0.012711864406779662
101,0.4682539682539683,0.01108213820078227,0.2238285144566301,0.01108213820078227
102,0.476190476190476,0.012385919165580182,0.15744870651204282,0.012385919165580182
103,0.48412698412698413,0.009126466753585397,0.19552058111380144,0.009126466753585397
104,0.49206349206349187,0.011734028683181226,0.1911487758945386,0.011734028683181226
105,0.5,0.011734028683181226,0.12947269303201503,0.011734028683181226
106,0.5079365079365079,0.008800521512385919,0.18455743879472697,0.008800521512385919
107,0.5158730158730159,0.01303780964797914,0.15932203389830507,0.01303780964797914
108,0.523809523809524,0.011408083441981747,0.14576271186440673,0.011408083441981747
109,0.5317460317460317,0.010104302477183833,0.14762165117550574,0.010104302477183833
110,0.5396825396825397,0.009452411994784877,0.13968439509059027,0.009452411994784877
111,0.5476190476190476,0.00847457627118644,0.10560625814863102,0.00847457627118644
112,0.5555555555555555,0.006844850065189048,0.20903954802259886,0.006844850065189048
113,0.5634920634920634,0.01075619295958279,0.1751412429378531,0.01075619295958279
114,0.5714285714285713,0.008800521512385919,0.1349654739485248,0.008800521512385919
115,0.5793650793650792,0.00847457627118644,0.22881355932203387,0.00847457627118644
116,0.5873015873015873,0.010430247718383311,0.1663135593220339,0.010430247718383311
117,0.595238095238095,0.009452411994784877,0.1256575102279369,0.009452411994784877
118,0.6031746031746033,0.010104302477183833,0.13231273920174957,0.010104302477183833
119,0.6111111111111108,0.01075619295958279,0.19157678479712378,0.01075619295958279
120,0.619047619047619,0.009452411994784877,0.12799532437171243,0.009452411994784877
121,0.6269841269841266,0.010430247718383311,0.17955508474576273,0.010430247718383311
122,0.6349206349206347,0.00651890482398957,0.1423728813559322,0.00651890482398957
123,0.6428571428571428,0.008148631029986962,0.1457627118644068,0.008148631029986962
124,0.6507936507936511,0.012711864406779662,0.17383746197305516,0.012711864406779662
125,0.6587301587301586,0.008800521512385919,0.12617702448210924,0.008800521512385919
126,0.6666666666666664,0.007822685788787484,0.16031073446327684,0.007822685788787484
127,0.6746031746031744,0.00847457627118644,0.15645371577574968,0.00847457627118644
128,0.6825396825396823,0.00651890482398957,0.0957627118644068,0.00651890482398957
129,0.6904761904761901,0.009778357235984355,0.15254237288135594,0.009778357235984355
130,0.6984126984126982,0.006844850065189048,0.12590799031476999,0.006844850065189048
131,0.7063492063492061,0.008148631029986962,0.183728813559322,0.008148631029986962
132,0.7142857142857142,0.0045632333767926985,0.1416464891041162,0.0045632333767926985
133,0.7222222222222219,0.007496740547588005,0.08769344141488578,0.007496740547588005
134,0.7301587301587299,0.007822685788787484,0.12923728813559324,0.007822685788787484
135,0.7380952380952377,0.008148631029986962,0.1654237288135593,0.008148631029986962
136,0.7460317460317464,0.005867014341590613,0.13653483992467041,0.005867014341590613
137,0.7539682539682538,0.00423728813559322,0.14602346805736638,0.00423728813559322
138,0.7619047619047622,0.00651890482398957,0.1347457627118644,0.00651890482398957
139,0.7698412698412702,0.007170795306388526,0.14175654853620956,0.007170795306388526
140,0.777777777777778,0.006844850065189048,0.21953188054882972,0.006844850065189048
141,0.7857142857142857,0.002607561929595828,0.1864406779661017,0.002607561929595828
142,0.7936507936507936,0.003585397653194263,0.20801232665639446,0.003585397653194263
143,0.8015873015873017,0.0045632333767926985,0.1682808716707022,0.0045632333767926985
144,0.8095238095238095,0.003259452411994785,0.12033898305084748,0.003259452411994785
145,0.8174603174603176,0.003911342894393742,0.07768361581920903,0.003911342894393742
146,0.8253968253968255,0.0045632333767926985,0.11016949152542374,0.0045632333767926985
147,0.8333333333333333,0.0029335071707953064,0.0903954802259887,0.0029335071707953064
148,0.8412698412698412,0.003585397653194263,0.12788906009244994,0.003585397653194263
149,0.8492063492063491,0.003585397653194263,0.10477657935285055,0.003585397653194263
150,0.8571428571428571,0.003911342894393742,0.11158192090395481,0.003911342894393742
151,0.8650793650793651,0.001303780964797914,0.44491525423728817,0.001303780964797914
152,0.873015873015873,0.001303780964797914,0.05932203389830508,0.001303780964797914
153,0.8809523809523809,0.001303780964797914,0.19915254237288135,0.001303780964797914
154,0.8888888888888888,0.0009778357235984355,0.11299435028248588,0.0009778357235984355
155,0.896825396825397,0.003259452411994785,0.08305084745762711,0.003259452411994785
