TIPI10,depression_mean,depression_relative,age_mean,age_relative
0,0.4927849927849928,0.01075619295958279,0.14894709809964046,0.01075619295958279
1,0.40917840004218714,0.19621903520208606,0.22802522664564462,0.19621903520208606
2,0.39215435727063624,0.18220338983050846,0.21436584700281963,0.18220338983050846
3,0.39968025579536387,0.18122555410691005,0.19073893427630784,0.18122555410691005
4,0.4308415967454871,0.1424380704041721,0.16181204669743618,0.1424380704041721
5,0.4284394676318663,0.13722294654498043,0.1708603405934217,0.13722294654498043
6,0.45533132707853924,0.08767926988265971,0.17094070947010268,0.08767926988265971
7,0.5146264439458156,0.06225554106910039,0.16842665720117123,0.06225554106910039
