TIPI2,depression_mean,depression_relative,age_mean,age_relative
0,0.4819624819624819,0.01075619295958279,0.12583461736004106,0.01075619295958279
1,0.34726535541752945,0.11994784876140809,0.25916543846720724,0.11994784876140809
2,0.36978710994459,0.12418513689700131,0.22291916900217998,0.12418513689700131
3,0.39501133786848086,0.10267275097783572,0.19079903147699756,0.10267275097783572
4,0.4187209717756341,0.10136897001303781,0.16954602430650167,0.10136897001303781
5,0.4165026892299621,0.27607561929595825,0.18501991075180615,0.27607561929595825
6,0.4665700228430854,0.17666232073011734,0.1678028644693227,0.17666232073011734
7,0.5481754817548173,0.08833116036505867,0.16204890862467938,0.08833116036505867
