TIPI4,depression_mean,depression_relative,age_mean,age_relative
0,0.431013431013431,0.00847457627118644,0.11994784876140807,0.00847457627118644
1,0.2120665011660274,0.06877444589308997,0.24154550566310537,0.06877444589308997
2,0.25024098708309256,0.08050847457627118,0.2333081726480477,0.08050847457627118
3,0.2843915343915346,0.06844850065189048,0.20976594027441467,0.06844850065189048
4,0.33182686654908894,0.07040417209908735,0.1995448838669176,0.07040417209908735
5,0.36497790404040414,0.22946544980443284,0.2120088597842835,0.22946544980443284
6,0.46966440548951127,0.23109517601043025,0.17264707991680817,0.23109517601043025
7,0.6098753595397898,0.24282920469361147,0.15884427255147315,0.24282920469361147
