race,depression_mean,depression_relative,age_mean,age_relative
arab,0.46740740740740744,0.024445893089960886,0.15683615819209043,0.024445893089960886
asian,0.4446879359814671,0.39308996088657105,0.13205160637490468,0.39308996088657105
black,0.38612836438923387,0.02998696219035202,0.1886514369933678,0.02998696219035202
indigenous australian,0.4603174603174603,0.000651890482398957,0.2711864406779661,0.000651890482398957
native american,0.4413919413919415,0.00423728813559322,0.23728813559322032,0.00423728813559322
other,0.41879160266257065,0.10104302477183832,0.15429196282121385,0.10104302477183832
white,0.40152937087243573,0.44654498044328556,0.2547692688358281,0.44654498044328556
