hand,depression_mean,depression_relative,age_mean,age_relative
both,0.4761904761904763,0.02346805736636245,0.21186440677966106,0.02346805736636245
left,0.42442279942279937,0.08604954367666232,0.18920133538777598,0.08604954367666232
right,0.4194410877014786,0.886245110821382,0.1918389737004511,0.886245110821382
unspecified,0.5122100122100123,0.00423728813559322,0.15775749674054756,0.00423728813559322
